"municipio","anio_mes","pm25"
Barbosa,"2021-01-01",12.1
Barbosa,"2021-02-01",14.3
Barbosa,"2021-03-01",15.58
Barbosa,"2021-04-01",10.86
Barbosa,"2021-05-01",7.78
Barbosa,"2021-06-01",8.26
Barbosa,"2021-07-01",9.14
Barbosa,"2021-08-01",9.86
Barbosa,"2021-09-01",9.64
Barbosa,"2021-10-01",9.35
Barbosa,"2021-11-01",9.49
Barbosa,"2021-12-01",10.64
Barbosa,"2022-01-01",12.28
Barbosa,"2022-02-01",17.83
Barbosa,"2022-03-01",16.38
Barbosa,"2022-04-01",9.77
Barbosa,"2022-05-01",8.97
Barbosa,"2022-06-01",9.58
Barbosa,"2022-07-01",7.19
Barbosa,"2022-08-01",9.17
Barbosa,"2022-09-01",10.4
Barbosa,"2022-10-01",9.07
Barbosa,"2022-11-01",9.09
Barbosa,"2022-12-01",11.47
Barbosa,"2023-01-01",32.66
Barbosa,"2023-02-01",26.11
Barbosa,"2023-03-01",26.84
Barbosa,"2023-04-01",35.09
Barbosa,"2023-05-01",32.31
Barbosa,"2023-06-01",37.16
Barbosa,"2023-07-01",32.3
Barbosa,"2023-08-01",32.41
Barbosa,"2023-09-01",30.38
Barbosa,"2023-10-01",31.17
Barbosa,"2023-11-01",35.52
Barbosa,"2023-12-01",28.61
Barbosa,"2024-01-01",18.93
Barbosa,"2024-02-01",16.99
Barbosa,"2024-03-01",29.05
Barbosa,"2024-04-01",20.2
Barbosa,"2024-05-01",10.12
Barbosa,"2024-06-01",7.8
Barbosa,"2024-07-01",10.35
Barbosa,"2024-08-01",13.13
Barbosa,"2024-09-01",13.9
Barbosa,"2024-10-01",10.27
Barbosa,"2024-11-01",9.49
Barbosa,"2024-12-01",12.09
Bello,"2021-01-01",13.59
Bello,"2021-02-01",15.55
Bello,"2021-03-01",17.18
Bello,"2021-04-01",12.46
Bello,"2021-05-01",10.55
Bello,"2021-06-01",10.5
Bello,"2021-07-01",11.07
Bello,"2021-08-01",11.95
Bello,"2021-09-01",12.12
Bello,"2021-10-01",13.35
Bello,"2021-11-01",14.64
Bello,"2021-12-01",14.67
Bello,"2022-01-01",14.43
Bello,"2022-02-01",20.14
Bello,"2022-03-01",18.62
Bello,"2022-04-01",12.47
Bello,"2022-05-01",12.18
Bello,"2022-06-01",12.33
Bello,"2022-07-01",10.55
Bello,"2022-08-01",13.09
Bello,"2022-09-01",14.15
Bello,"2022-10-01",13.68
Bello,"2022-11-01",13.64
Bello,"2022-12-01",15.15
Bello,"2023-01-01",26.43
Bello,"2023-02-01",22.12
Bello,"2023-03-01",24.72
Bello,"2023-04-01",27.09
Bello,"2023-05-01",28.11
Bello,"2023-06-01",32.81
Bello,"2023-07-01",32.92
Bello,"2023-08-01",29.77
Bello,"2023-09-01",26.02
Bello,"2023-10-01",26.94
Bello,"2023-11-01",33.05
Bello,"2023-12-01",26.57
Bello,"2024-01-01",19.64
Bello,"2024-02-01",18.31
Bello,"2024-03-01",28.56
Bello,"2024-04-01",21.6
Bello,"2024-05-01",12.59
Bello,"2024-06-01",11.25
Bello,"2024-07-01",11.64
Bello,"2024-08-01",13.56
Bello,"2024-09-01",15.85
Bello,"2024-10-01",12.43
Bello,"2024-11-01",11.79
Bello,"2024-12-01",13.86
Caldas,"2021-01-01",19.42
Caldas,"2021-02-01",20.48
Caldas,"2021-03-01",20.52
Caldas,"2021-04-01",16.03
Caldas,"2021-05-01",13.8
Caldas,"2021-06-01",13.47
Caldas,"2021-07-01",15.8
Caldas,"2021-08-01",14.68
Caldas,"2021-09-01",16.37
Caldas,"2021-10-01",15.52
Caldas,"2021-11-01",15.35
Caldas,"2021-12-01",18.6
Caldas,"2022-01-01",18.99
Caldas,"2022-02-01",24.82
Caldas,"2022-03-01",20.43
Caldas,"2022-04-01",15.61
Caldas,"2022-05-01",14.29
Caldas,"2022-06-01",13.63
Caldas,"2022-07-01",14.8
Caldas,"2022-08-01",15.41
Caldas,"2022-09-01",15.35
Caldas,"2022-10-01",14.75
Caldas,"2022-11-01",13.32
Caldas,"2022-12-01",18.66
Caldas,"2023-01-01",23.45
Caldas,"2023-02-01",26.48
Caldas,"2023-03-01",27.17
Caldas,"2023-04-01",29.28
Caldas,"2023-05-01",30.27
Caldas,"2023-06-01",31.08
Caldas,"2023-07-01",32.04
Caldas,"2023-08-01",28.6
Caldas,"2023-09-01",27.16
Caldas,"2023-10-01",28.49
Caldas,"2023-11-01",30.3
Caldas,"2023-12-01",24.69
Caldas,"2024-01-01",23.29
Caldas,"2024-02-01",22.59
Caldas,"2024-03-01",30.8
Caldas,"2024-04-01",23.99
Caldas,"2024-05-01",15.8
Caldas,"2024-06-01",13.87
Caldas,"2024-07-01",15.46
Caldas,"2024-08-01",17.19
Caldas,"2024-09-01",18.99
Caldas,"2024-10-01",15.61
Caldas,"2024-11-01",13.02
Caldas,"2024-12-01",16.57
Copacabana,"2021-01-01",13.03
Copacabana,"2021-02-01",15.0
Copacabana,"2021-03-01",17.22
Copacabana,"2021-04-01",12.36
Copacabana,"2021-05-01",10.16
Copacabana,"2021-06-01",10.15
Copacabana,"2021-07-01",10.7
Copacabana,"2021-08-01",11.35
Copacabana,"2021-09-01",12.18
Copacabana,"2021-10-01",12.23
Copacabana,"2021-11-01",12.8
Copacabana,"2021-12-01",13.81
Copacabana,"2022-01-01",14.6
Copacabana,"2022-02-01",20.58
Copacabana,"2022-03-01",18.73
Copacabana,"2022-04-01",11.67
Copacabana,"2022-05-01",11.45
Copacabana,"2022-06-01",11.44
Copacabana,"2022-07-01",9.97
Copacabana,"2022-08-01",12.06
Copacabana,"2022-09-01",14.09
Copacabana,"2022-10-01",12.92
Copacabana,"2022-11-01",12.53
Copacabana,"2022-12-01",14.55
Copacabana,"2023-01-01",26.6
Copacabana,"2023-02-01",22.6
Copacabana,"2023-03-01",24.4
Copacabana,"2023-04-01",28.34
Copacabana,"2023-05-01",31.12
Copacabana,"2023-06-01",34.99
Copacabana,"2023-07-01",32.7
Copacabana,"2023-08-01",29.49
Copacabana,"2023-09-01",30.36
Copacabana,"2023-10-01",28.67
Copacabana,"2023-11-01",32.84
Copacabana,"2023-12-01",25.68
Copacabana,"2024-01-01",18.73
Copacabana,"2024-02-01",17.93
Copacabana,"2024-03-01",29.12
